"actnum","object_id","permx","poro","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,0,nan,nan,0,779.96,4.5914e+05,7.3228e+06,2632.1
nan,0,nan,nan,0,784.99,4.5914e+05,7.3228e+06,2632.6
nan,0,nan,nan,0,789.52,4.5914e+05,7.3228e+06,2633.1
nan,0,nan,nan,0,794.55,4.5914e+05,7.3228e+06,2633.7
nan,0,nan,nan,0,799.07,4.5914e+05,7.3228e+06,2634.2
nan,0,nan,nan,0,804.1,4.5914e+05,7.3228e+06,2634.7
nan,0,nan,nan,0,809.13,4.5914e+05,7.3228e+06,2635.2
nan,0,nan,nan,0,813.66,4.5914e+05,7.3229e+06,2635.7
nan,0,nan,nan,0,818.68,4.5914e+05,7.3229e+06,2636.2
nan,0,nan,nan,0,823.21,4.5914e+05,7.3229e+06,2636.7
nan,0,nan,nan,0,828.24,4.5914e+05,7.3229e+06,2637.3
nan,0,nan,nan,0,832.77,4.5914e+05,7.3229e+06,2637.8
nan,0,nan,nan,0,837.79,4.5914e+05,7.3229e+06,2638.3
nan,0,nan,nan,0,842.82,4.5914e+05,7.3229e+06,2638.8
nan,0,nan,nan,0,847.35,4.5914e+05,7.3229e+06,2639.3
nan,0,nan,nan,0,852.38,4.5914e+05,7.3229e+06,2639.8
nan,0,nan,nan,0,856.91,4.5914e+05,7.3229e+06,2640.3
nan,0,nan,nan,0,861.93,4.5914e+05,7.3229e+06,2640.9
nan,0,nan,nan,0,866.46,4.5914e+05,7.3229e+06,2641.4
nan,0,nan,nan,0,871.49,4.5914e+05,7.3229e+06,2641.9
nan,0,nan,nan,0,876.51,4.5914e+05,7.3229e+06,2642.4
nan,0,nan,nan,0,881.04,4.5914e+05,7.3229e+06,2642.9
nan,0,nan,nan,0,886.07,4.5914e+05,7.3229e+06,2643.4
nan,0,nan,nan,0,890.6,4.5914e+05,7.3229e+06,2643.9
nan,0,nan,nan,0,895.62,4.5914e+05,7.3229e+06,2644.4
nan,0,nan,nan,0,900.65,4.5914e+05,7.3229e+06,2645
nan,0,nan,nan,0,905.18,4.5914e+05,7.3229e+06,2645.5
nan,0,nan,nan,0,910.21,4.5914e+05,7.3229e+06,2646
nan,0,nan,nan,0,914.74,4.5914e+05,7.323e+06,2646.5
nan,0,nan,nan,0,919.76,4.5914e+05,7.323e+06,2647
nan,0,nan,nan,0,924.29,4.5914e+05,7.323e+06,2647.5
nan,0,nan,nan,0,929.32,4.5914e+05,7.323e+06,2648
nan,0,nan,nan,0,934.34,4.5914e+05,7.323e+06,2648.6
nan,0,nan,nan,0,938.87,4.5914e+05,7.323e+06,2649.1
nan,0,nan,nan,0,943.9,4.5914e+05,7.323e+06,2649.6
nan,0,nan,nan,0,948.43,4.5914e+05,7.323e+06,2650.1
nan,0,nan,nan,0,953.45,4.5914e+05,7.323e+06,2650.6
nan,0,nan,nan,0,957.98,4.5914e+05,7.323e+06,2651.1
nan,0,nan,nan,0,963.01,4.5914e+05,7.323e+06,2651.6
nan,0,nan,nan,0,968.04,4.5914e+05,7.323e+06,2652.2
nan,0,nan,nan,0,972.57,4.5914e+05,7.323e+06,2652.7
nan,0,nan,nan,0,977.59,4.5914e+05,7.323e+06,2653.2
nan,0,nan,nan,0,982.12,4.5914e+05,7.323e+06,2653.7
nan,0,nan,nan,0,987.15,4.5914e+05,7.323e+06,2654.2
nan,0,nan,nan,0,991.68,4.5914e+05,7.323e+06,2654.7
nan,0,nan,nan,0,996.7,4.5914e+05,7.323e+06,2655.2
nan,0,nan,nan,0,1001.7,4.5914e+05,7.323e+06,2655.7
nan,0,nan,nan,0,1006.3,4.5914e+05,7.323e+06,2656.3
nan,0,nan,nan,0,1011.3,4.5914e+05,7.323e+06,2656.8
nan,0,nan,nan,0,1015.8,4.5914e+05,7.3231e+06,2657.3
nan,0,nan,nan,0,1020.8,4.5914e+05,7.3231e+06,2657.8
nan,0,nan,nan,0,1025.4,4.5914e+05,7.3231e+06,2658.3
nan,0,nan,nan,0,1030.4,4.5914e+05,7.3231e+06,2658.8
nan,0,nan,nan,0,1035.4,4.5914e+05,7.3231e+06,2659.3
nan,0,nan,nan,0,1040,4.5914e+05,7.3231e+06,2659.9
nan,0,nan,nan,0,1045,4.5914e+05,7.3231e+06,2660.4
nan,0,nan,nan,0,1049.5,4.5914e+05,7.3231e+06,2660.9
nan,0,nan,nan,0,1054.5,4.5914e+05,7.3231e+06,2661.4
nan,0,nan,nan,0,1059.6,4.5914e+05,7.3231e+06,2661.9
nan,0,nan,nan,0,1064.1,4.5914e+05,7.3231e+06,2662.4
nan,0,nan,nan,0,1069.1,4.5914e+05,7.3231e+06,2662.9
nan,0,nan,nan,0,1073.6,4.5914e+05,7.3231e+06,2663.5
nan,0,nan,nan,0,1078.7,4.5914e+05,7.3231e+06,2664
nan,0,nan,nan,0,1083.2,4.5914e+05,7.3231e+06,2664.5
nan,0,nan,nan,0,1088.2,4.5914e+05,7.3231e+06,2665
nan,0,nan,nan,0,1093.3,4.5914e+05,7.3231e+06,2665.5
nan,0,nan,nan,0,1097.8,4.5914e+05,7.3231e+06,2666
nan,0,nan,nan,0,1102.8,4.5914e+05,7.3231e+06,2666.5
nan,0,nan,nan,0,1107.3,4.5914e+05,7.3231e+06,2667
nan,0,nan,nan,0,1112.4,4.5914e+05,7.3231e+06,2667.6
nan,0,nan,nan,0,1116.9,4.5914e+05,7.3232e+06,2668.1
nan,0,nan,nan,0,1121.9,4.5914e+05,7.3232e+06,2668.6
nan,0,nan,nan,0,1126.9,4.5914e+05,7.3232e+06,2669.1
nan,0,nan,nan,0,1131.5,4.5914e+05,7.3232e+06,2669.6
nan,0,nan,nan,0,1136.5,4.5914e+05,7.3232e+06,2670.1
nan,0,nan,nan,0,1141,4.5914e+05,7.3232e+06,2670.6
nan,0,nan,nan,0,1146.1,4.5914e+05,7.3232e+06,2671.2
nan,0,nan,nan,0,1150.6,4.5914e+05,7.3232e+06,2671.7
nan,0,nan,nan,0,1155.6,4.5914e+05,7.3232e+06,2672.2
